,Price,Style,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Price Sqr Ft,Last Sold Year,Last Sold For,Last Tax Assestment,Address,City,State,Zipcode,Property Type,Address Full,Days On Trulia
0,"$899,990+",4 Beds / 3 Baths,"2,506 sqft",-121.78657,37.24272,,4.0,3.0,,$359/sqft,,,," Plan 4 in The Towns at UrbanOak by Pulte Homes San Jose, CA 95119 ",San Jose,CA,95119,,"Plan 4 in The Towns at UrbanOak, San Jose, CA 95119",12.0
1,"$369,000",3 Beds / 2 Baths,"1,183 sqft",-117.043594,32.682053,3.23 acres,3.0,2.0,1980.0,$312/sqft,2016.0,"$308,500","$320,963"," 6809 Panamint Row #4 San Diego, CA 92139 ",San Diego,CA,92139,,"6809 Panamint Row #4, San Diego, CA 92139",29.0
2,"$830,000",4 Beds / 4 Baths,"3,593 sqft",-104.88007,39.76414,"3,150 sqft",4.0,4.0,2010.0,$231/sqft,2010.0,"$456,818","$45,650"," 3433 Beeler St Denver, CO 80238 ",Denver,CO,80238,,"3433 Beeler St, Denver, CO 80238",2.0
3,"$127,020",3 Beds / 1 Bath,"1,235 sqft",-87.88883,42.97216,"6,970 sqft",3.0,1.0,1954.0,$103/sqft,,,"$134,500"," 1620 E Norwich Ave Saint Francis, WI 53235 ",Saint Francis,WI,53235,,"1620 E Norwich Ave, Saint Francis, WI 53235",13.0
4,"$340,000",4 Beds / 4 Baths,"2,430 sqft",-97.51906,35.47114,6899 sqft,4.0,4.0,2019.0,$140/sqft,,,," 17813 Macarthur Park Rd Oklahoma City, OK 73102 ",Oklahoma City,OK,73102,,"17813 Macarthur Park Rd, Oklahoma City, OK 73102",16.0
5,"$52,000",2 Beds / 1 Bath,802 sqft,-97.40906,27.775341,"6,251 sqft",2.0,1.0,1938.0,$65/sqft,,,," 1446 17th St Corpus Christi, TX 78404 ",Corpus Christi,TX,78404,,"1446 17th St, Corpus Christi, TX 78404",2.0
6,"$219,000",1 Bed / 1 Bath,"213,654 sqft",-73.83415,40.71259,1.95 acres,1.0,1.0,1973.0,$1/sqft,,,"$8,434,110"," 11817 Union Tpke #3C Forest Hills, NY 11375 ",Forest Hills,NY,11375,,"11817 Union Tpke #3C, Forest Hills, NY 11375",180.0
7,"$299,900",4 Beds / 3 Baths,"3,201 sqft",-87.703995,41.717567,0.28 acres,4.0,3.0,1959.0,$94/sqft,,,"$33,713"," 3248 W 97th St Evergreen Pk, IL 60805 ",Evergreen Pk,IL,60805,,"3248 W 97th St, Evergreen Pk, IL 60805",180.0
8,"$1,300,000",3 Beds / 2 Baths,"1,300 sqft",-73.961784,40.797756,,3.0,2.0,1985.0,"$1,000/sqft",,,," 40 W 105th St #3A New York, NY 10025 ",New York,NY,10025,,"40 W 105th St #3A, New York, NY 10025",31.0
9,"$950,000",5 Beds / 5 Baths,"5,466 sqft",-115.19873,35.989677,0.3 acres,5.0,5.0,2007.0,$174/sqft,2017.0,"$450,000","$234,271"," 11005 Inverlochy Ct Las Vegas, NV 89141 ",Las Vegas,NV,89141,,"11005 Inverlochy Ct, Las Vegas, NV 89141",24.0
10,"$211,990",4 Beds / 2 Baths,"1,862 sqft",-81.95708,30.20811,,4.0,2.0,,$114/sqft,,,," 6194 Paint Mare Ln Jacksonville, FL 32234 ",Jacksonville,FL,32234,,"6194 Paint Mare Ln, Jacksonville, FL 32234",36.0
